"","UserID","region","municipality_size","household_size","GenderID","Age","employment","income","children_per_household","social_class","education","life_stage"
"1",1,"5","6",1,"1",59,"2","2",0,"5","2","2"
"2",2,"3","3",2,"2",47,"2","7",0,"2","6","4"
"3",4,"4","4",5,"1",41,"2","5",3,"1","4","6"
"4",5,"4","5",4,"1",43,"2","5",2,"2","6","6"
"5",6,"2","6",1,"1",77,"7","2",0,"5","3","2"
"6",7,"4","4",4,"1",49,"2","5",2,"2","7","6"
"7",8,"4","6",3,"1",68,"7","3",2,"4","4","8"
"8",9,"5","4",3,"1",35,"2","5",1,"1","8","5"
"9",8829,"4","5",3,"1",51,"3","3",1,"3","4","8"
"10",10,"4","5",3,"1",51,"3","3",1,"3","4","8"
"11",7280,"4","5",3,"1",51,"3","3",1,"3","4","8"
"12",11,"4","4",5,"1",44,"2","6",3,"1","7","6"
"13",12,"2","4",2,"1",47,"3","3",0,"1","6","4"
"14",14,"2","6",4,"1",49,"2","7",2,"1","8","6"
"15",15,"3","6",1,"2",25,"4","1",0,"5","3","1"
"16",16,"5","6",4,"1",49,"1","6",1,"1","7","8"
"17",7282,"4","5",3,"2",57,"2","5",0,"1","3","7"
"18",9396,"4","5",3,"2",57,"2","5",0,"1","3","7"
"19",17,"4","5",3,"2",57,"2","5",0,"1","3","7"
"20",18,"2","6",2,"1",49,"2","4",1,"3","3","8"
"21",7283,"2","4",3,"2",48,"4",NA,1,"1","4","6"
"22",19,"2","4",3,"2",48,"4",NA,1,"1","4","6"
"23",20,"4","5",4,"1",33,"2","5",2,"1","8","5"
"24",21,"3","3",4,"1",53,"2","4",0,"3","4","7"
"25",22,"4","5",2,"1",73,"7","2",0,"2","6","4"
"26",23,"5","4",3,"2",42,"2","2",2,"2","4","8"
"27",9148,"5","4",3,"2",42,"2","2",2,"2","4","8"
"28",24,"4","4",2,"1",37,"2","4",0,"2","4","3"
"29",25,"5","4",4,"1",34,"2","5",2,"2","6","5"
"30",26,"1","5",2,"1",40,"2","4",0,"2","6","3"
"31",7284,"5","4",1,"2",87,"7","2",0,"5","2","2"
"32",27,"4","6",4,"1",44,"1","5",2,"2","6","8"
"33",29,"4","5",4,"2",48,"2","5",0,"3","4","7"
"34",31,"4","4",4,"1",45,"2","5",2,"3","3","6"
"35",32,"4","6",2,"1",77,"1","5",0,"1","8","4"
"36",33,"2","6",5,"1",47,"2","7",3,"1","7","6"
"37",34,"4","5",4,"1",36,"2","5",2,"1",NA,"8"
"38",7285,"2","6",2,"2",76,"7","2",0,"2","2","4"
"39",36,"5","4",2,"1",59,"3","7",0,"1","7","4"
"40",37,"5","4",2,"2",66,"9","2",0,"4","2","4"
"41",7286,"5","4",2,"2",66,"9","2",0,"4","2","4"
"42",38,"5","6",3,"1",32,"2",NA,0,"3","4","7"
"43",39,"2","6",2,"2",74,"2",NA,0,"4","5","4"
"44",7288,"2","6",2,"2",74,"2",NA,0,"4","5","4"
"45",40,"5","6",2,"2",49,"9",NA,0,"5","4","4"
"46",7289,"5","6",2,"2",49,"9",NA,0,"5","4","4"
"47",41,"5","4",5,"1",48,"2","6",2,"2","4","6"
"48",42,"2","4",4,"1",36,"2","5",2,"2","5","5"
"49",43,"1","5",6,"1",37,"2","5",4,"2","4","8"
"50",44,"5","6",3,"2",43,"9",NA,0,"2","4","7"
"51",7290,"4","6",4,"2",59,"1","7",0,"1","5","7"
"52",45,"4","6",4,"2",59,"1","7",0,"1","5","7"
"53",46,"2","4",2,"1",78,"7","5",0,"2","6","4"
"54",48,"5","4",2,"1",56,"2","4",0,"2","7","9"
"55",49,"2","4",5,"2",42,"2","6",3,"2","5","6"
"56",50,"5","6",1,"1",78,"7",NA,0,"5","2","2"
"57",7291,"5","6",1,"1",78,"7",NA,0,"5","2","2"
"58",8831,"2","5",5,"1",45,"2","7",3,"1","7","8"
"59",7292,"2","5",5,"1",45,"2","7",3,"1","7","8"
"60",51,"2","5",5,"1",45,"2","7",3,"1","7","8"
"61",7293,"5","6",4,"2",53,"9",NA,0,"3","5","7"
"62",52,"5","6",4,"2",53,"9",NA,0,"3","5","7"
"63",53,"2","6",1,"1",29,"2","3",0,"1","8","1"
"64",55,"2","5",1,"1",50,"2",NA,0,"5","1","2"
"65",56,"2","3",1,"2",37,"2",NA,0,"2","6","1"
"66",57,"2","4",2,"2",31,"2","2",0,"3","4","3"
"67",58,"3","5",2,"1",39,"4","2",0,"4","3","3"
"68",59,"4","4",2,"1",59,"3",NA,0,"3","3","4"
"69",60,"4","4",3,"1",34,"2","4",1,"3","4","5"
"70",61,"5","4",3,"1",45,"4",NA,1,"3","7","8"
"71",7294,"2","4",4,"2",46,"2","7",2,"1","8","5"
"72",62,"2","4",4,"2",46,"2","7",2,"1","8","5"
"73",63,"4","4",2,"2",26,"2","6",0,"1","6","3"
"74",64,"5","4",3,"1",55,"3","5",1,"2","5","7"
"75",65,"5","5",1,"1",33,"2","4",0,"2","7","1"
"76",67,"2","4",2,"1",33,"2","6",0,"1","6","3"
"77",7295,"1","8",1,"2",73,"7","2",0,"4","4","2"
"78",69,"4","4",4,"2",40,"9","3",2,"2","4","5"
"79",70,"5","4",2,"1",28,"2","6",0,"1","8","3"
