"journeyID","journey_start","journey_end","journey_duration"
1,2016-03-12,2016-03-13,1
2,2015-07-18,2015-07-18,0
3,2015-08-07,2015-08-07,0
4,2015-11-03,2015-11-24,21
5,2016-05-21,2016-06-15,25
6,2015-08-15,2015-09-05,21
7,2015-11-14,2015-11-14,0
8,2016-01-17,2016-03-28,71
9,2016-06-03,2016-06-17,14
10,2016-09-23,2016-10-23,30
11,2015-09-01,2015-09-03,2
12,2015-12-31,2015-12-31,0
13,2016-05-04,2016-05-04,0
14,2016-03-21,2016-04-30,40
15,2015-06-05,2015-06-10,5
16,2015-08-25,2015-08-25,0
17,2015-09-27,2015-10-03,6
18,2015-11-05,2015-11-05,0
19,2016-01-06,2016-01-06,0
20,2016-02-17,2016-02-17,0
21,2016-07-27,2016-09-05,40
22,2016-10-11,2016-10-14,3
23,2016-01-29,2016-01-30,1
24,2016-04-20,2016-04-20,0
25,2016-06-01,2016-06-01,0
26,2016-07-06,2016-07-06,0
27,2015-06-19,2015-06-19,0
28,2015-08-30,2015-08-30,0
29,2015-11-25,2016-01-17,53
30,2015-06-05,2015-07-05,30
31,2015-07-17,2015-08-14,28
32,2015-09-15,2015-10-13,28
33,2016-01-28,2016-03-23,55
34,2016-04-24,2016-07-15,82
35,2016-08-26,2016-10-24,59
36,2015-06-17,2015-06-21,4
37,2016-01-06,2016-05-02,117
38,2015-06-15,2015-07-01,16
39,2015-07-24,2015-09-04,42
40,2015-10-03,2015-10-31,28
41,2015-11-03,2015-11-27,24
42,2016-05-03,2016-10-27,177
43,2015-06-21,2015-06-30,9
44,2016-06-05,2016-06-05,0
45,2015-08-12,2015-08-12,0
46,2015-10-11,2015-10-11,0
47,2016-01-30,2016-01-30,0
48,2016-03-07,2016-03-07,0
49,2016-04-24,2016-04-24,0
50,2016-09-07,2016-09-07,0
51,2015-06-14,2015-11-07,146
52,2016-02-05,2016-02-05,0
53,2015-07-09,2015-07-14,5
54,2015-12-06,2016-01-25,50
55,2015-06-01,2015-06-01,0
56,2016-02-05,2016-04-26,81
57,2016-01-26,2016-01-27,1
58,2016-08-12,2016-09-21,40
59,2015-06-30,2015-07-10,10
60,2015-11-15,2015-12-01,16
61,2016-01-25,2016-09-19,238
62,2016-10-28,2016-10-31,3
63,2015-06-01,2015-07-14,43
64,2016-08-15,2016-09-25,41
65,2015-06-09,2015-07-28,49
66,2015-08-30,2015-09-16,17
67,2015-11-10,2015-11-15,5
68,2016-01-18,2016-02-13,26
69,2016-04-09,2016-05-04,25
70,2016-06-07,2016-07-17,40
71,2016-10-23,2016-10-29,6
72,2015-06-09,2015-06-18,9
73,2016-05-01,2016-06-27,57
74,2015-06-04,2015-06-04,0
75,2015-08-27,2015-09-28,32
76,2015-12-05,2015-12-22,17
77,2015-12-31,2015-12-31,0
78,2016-02-07,2016-02-07,0
79,2016-03-10,2016-03-10,0
80,2016-06-29,2016-07-12,13
81,2015-06-01,2015-07-10,39
82,2015-08-13,2015-08-13,0
83,2015-10-20,2015-10-20,0
84,2016-01-03,2016-01-03,0
85,2016-05-15,2016-05-15,0
86,2016-07-22,2016-07-29,7
87,2016-09-16,2016-09-16,0
88,2015-06-01,2015-12-11,193
89,2016-07-19,2016-09-08,51
90,2016-06-19,2016-07-23,34
91,2016-09-08,2016-09-08,0
92,2016-09-14,2016-09-14,0
93,2016-03-08,2016-08-22,167
94,2015-06-01,2015-08-22,82
95,2015-10-17,2015-11-02,16
96,2015-12-19,2016-02-05,48
97,2016-08-24,2016-10-21,58
98,2015-11-17,2016-05-13,178
99,2015-06-07,2015-07-06,29
100,2015-08-16,2015-09-15,30
101,2015-10-24,2015-11-13,20
102,2016-06-02,2016-08-24,83
103,2015-07-02,2015-11-24,145
104,2016-01-08,2016-04-26,109
105,2015-06-03,2015-06-03,0
106,2015-11-26,2015-12-08,12
107,2016-05-01,2016-06-05,35
108,2016-08-15,2016-10-24,70
109,2015-07-20,2015-07-20,0
110,2015-08-19,2015-09-06,18
111,2015-10-16,2015-10-16,0
112,2015-11-27,2015-11-27,0
113,2016-02-07,2016-02-07,0
114,2016-03-30,2016-03-30,0
115,2016-09-16,2016-09-16,0
116,2016-10-28,2016-10-28,0
117,2015-06-07,2015-06-09,2
118,2015-07-17,2015-08-25,39
119,2015-11-25,2015-11-25,0
120,2016-05-11,2016-05-11,0
121,2016-07-14,2016-07-19,5
122,2016-08-25,2016-09-05,11
123,2016-10-19,2016-10-19,0
124,2016-09-30,2016-09-30,0
125,2015-06-03,2015-07-15,42
126,2016-02-06,2016-02-06,0
127,2015-07-15,2015-07-20,5
128,2016-02-14,2016-02-26,12
129,2016-07-26,2016-07-29,3
130,2015-07-21,2015-07-21,0
131,2015-06-21,2015-06-21,0
132,2015-07-15,2015-07-15,0
133,2015-08-24,2015-09-18,25
134,2015-11-01,2015-11-08,7
135,2016-01-25,2016-01-25,0
136,2016-03-13,2016-03-21,8
137,2015-08-13,2015-08-14,1
138,2016-01-15,2016-01-31,16
139,2016-04-15,2016-04-28,13
140,2016-08-26,2016-09-09,14
141,2015-08-17,2015-08-18,1
142,2016-08-09,2016-08-09,0
143,2016-10-31,2016-10-31,0
144,2016-10-02,2016-10-02,0
145,2015-06-27,2015-06-27,0
146,2015-08-05,2015-09-09,35
147,2015-10-24,2015-11-30,37
148,2016-01-18,2016-01-18,0
149,2016-04-12,2016-04-12,0
150,2016-05-18,2016-05-18,0
151,2016-08-11,2016-08-11,0
152,2015-06-10,2015-06-10,0
153,2015-07-11,2015-09-27,78
154,2015-11-04,2015-12-23,49
155,2016-02-13,2016-02-13,0
156,2016-03-24,2016-03-27,3
157,2015-06-07,2015-09-19,104
158,2015-11-01,2016-01-19,79
159,2015-06-03,2015-06-22,19
160,2015-08-07,2015-08-07,0
161,2015-09-06,2015-10-03,27
162,2016-02-19,2016-02-19,0
163,2016-04-17,2016-04-17,0
164,2016-09-04,2016-09-04,0
165,2016-10-22,2016-10-22,0
166,2015-09-22,2015-09-22,0
167,2016-01-21,2016-01-21,0
168,2015-06-06,2015-06-06,0
169,2015-08-02,2016-03-14,225
170,2016-04-26,2016-06-13,48
171,2016-07-30,2016-08-10,11
172,2016-10-30,2016-10-30,0
173,2015-06-05,2015-11-27,175
174,2016-01-02,2016-01-04,2
175,2016-02-09,2016-03-23,43
176,2016-04-28,2016-04-28,0
177,2016-06-02,2016-09-11,101
178,2016-10-24,2016-10-27,3
179,2015-10-26,2015-11-06,11
180,2016-01-10,2016-01-10,0
181,2016-02-11,2016-05-04,83
182,2016-06-17,2016-10-27,132
183,2015-07-01,2015-07-01,0
184,2015-09-17,2015-09-17,0
185,2015-12-15,2016-02-04,51
186,2015-07-25,2015-08-01,7
187,2015-10-16,2015-10-20,4
188,2016-01-21,2016-03-26,65
189,2016-06-05,2016-06-24,19
190,2016-08-13,2016-08-13,0
191,2015-09-08,2015-09-17,9
192,2015-06-29,2015-09-06,69
193,2015-09-15,2015-11-11,57
194,2016-10-05,2016-10-27,22
195,2016-05-18,2016-05-18,0
196,2016-08-12,2016-08-12,0
197,2015-06-14,2015-06-14,0
198,2015-09-19,2015-09-19,0
199,2015-11-19,2015-11-29,10
200,2016-03-13,2016-03-13,0
201,2016-04-12,2016-04-12,0
202,2016-08-01,2016-08-16,15
203,2016-10-01,2016-10-01,0
204,2015-06-20,2015-10-07,109
205,2016-10-07,2016-10-10,3
206,2015-07-07,2015-09-08,63
207,2016-02-29,2016-02-29,0
208,2016-05-09,2016-05-09,0
209,2016-07-04,2016-07-25,21
210,2015-09-20,2015-09-20,0
211,2015-07-03,2015-07-03,0
212,2015-10-31,2016-01-18,79
213,2016-02-16,2016-03-09,22
214,2016-04-27,2016-04-27,0
215,2016-05-27,2016-05-27,0
216,2016-06-26,2016-08-08,43
217,2016-09-22,2016-10-27,35
218,2015-06-27,2015-06-28,1
219,2015-07-30,2015-08-21,22
220,2015-09-28,2015-09-28,0
221,2015-11-04,2015-11-20,16
222,2015-12-23,2016-01-09,17
223,2016-02-12,2016-02-12,0
224,2016-03-12,2016-03-12,0
225,2016-08-28,2016-08-28,0
226,2015-06-02,2015-06-02,0
227,2015-07-05,2015-07-05,0
228,2015-08-27,2015-09-27,31
229,2016-01-08,2016-02-15,38
230,2016-04-27,2016-04-27,0
231,2016-07-12,2016-07-12,0
232,2016-08-16,2016-08-16,0
233,2015-06-02,2015-06-14,12
234,2015-10-14,2015-10-20,6
235,2015-06-16,2015-08-11,56
236,2015-11-29,2015-11-29,0
237,2015-08-14,2015-10-13,60
238,2016-06-03,2016-06-12,9
239,2015-12-06,2016-06-02,179
240,2016-07-23,2016-08-11,19
241,2016-09-10,2016-10-10,30
242,2015-12-24,2015-12-24,0
243,2016-02-15,2016-02-15,0
244,2015-07-10,2015-09-06,58
245,2016-03-11,2016-06-13,94
246,2015-09-08,2015-10-06,28
247,2015-11-05,2015-12-01,26
248,2016-01-14,2016-02-09,26
249,2016-06-20,2016-09-21,93
250,2015-06-15,2015-06-15,0
251,2015-09-04,2015-09-04,0
252,2016-01-17,2016-01-17,0
253,2016-03-12,2016-03-12,0
254,2016-05-15,2016-07-03,49
255,2016-08-28,2016-08-28,0
256,2016-10-04,2016-10-04,0
257,2015-06-25,2015-06-25,0
258,2015-10-11,2015-10-11,0
259,2015-12-25,2016-01-23,29
260,2016-05-22,2016-06-20,29
261,2016-08-09,2016-08-21,12
262,2015-06-11,2015-06-11,0
263,2015-07-24,2015-07-24,0
264,2016-02-25,2016-02-25,0
265,2015-06-13,2015-07-08,25
266,2015-09-07,2015-11-06,60
267,2015-12-13,2016-09-06,268
268,2015-08-06,2015-08-19,13
269,2015-11-05,2015-11-05,0
270,2015-12-24,2015-12-24,0
271,2016-02-15,2016-03-09,23
272,2016-09-19,2016-09-19,0
273,2016-02-02,2016-03-16,43
274,2015-10-12,2015-10-23,11
275,2015-11-21,2015-12-13,22
276,2016-04-04,2016-05-30,56
277,2016-08-07,2016-08-09,2
278,2016-10-06,2016-10-06,0
279,2016-01-29,2016-01-29,0
280,2016-06-03,2016-06-03,0
281,2015-06-01,2015-06-14,13
282,2016-05-24,2016-05-24,0
283,2016-08-28,2016-08-28,0
284,2015-06-09,2015-06-09,0
285,2015-07-08,2015-07-19,11
286,2015-07-17,2015-08-30,44
287,2015-09-20,2015-11-21,62
288,2016-01-28,2016-04-04,67
289,2016-05-24,2016-08-28,96
290,2016-09-27,2016-10-31,34
291,2015-06-03,2015-07-27,54
292,2016-04-20,2016-04-20,0
293,2015-06-14,2015-07-29,45
294,2015-10-03,2015-10-27,24
295,2015-10-10,2015-10-12,2
296,2015-11-20,2015-11-20,0
297,2015-06-01,2015-11-04,156
298,2015-12-04,2015-12-16,12
299,2015-06-27,2015-06-27,0
300,2015-08-09,2015-10-06,58
301,2015-11-28,2015-11-29,1
302,2016-02-17,2016-02-22,5
303,2016-05-01,2016-05-06,5
304,2016-06-13,2016-06-20,7
305,2016-08-05,2016-10-18,74
306,2015-06-07,2015-10-18,133
307,2015-10-28,2015-12-02,35
308,2015-12-21,2016-01-24,34
309,2016-02-26,2016-04-15,49
310,2016-09-16,2016-10-31,45
311,2016-04-17,2016-09-10,146
312,2015-06-08,2015-06-08,0
313,2015-07-19,2015-07-19,0
314,2015-10-07,2015-10-07,0
315,2016-01-06,2016-01-06,0
316,2016-02-27,2016-03-13,15
317,2016-04-24,2016-04-24,0
318,2016-06-27,2016-07-05,8
319,2015-06-14,2015-07-14,30
320,2015-07-15,2016-01-16,185
321,2016-02-24,2016-03-04,9
322,2016-04-15,2016-05-04,19
323,2016-10-17,2016-10-30,13
