"journeyID","purchase_any_journey","nr_touchpoints"
1,0,3
2,0,1
3,0,1
4,0,5
5,0,4
6,0,34
7,0,3
8,0,14
9,0,584
10,0,53
11,0,8
12,1,14
13,0,1
14,1,104
15,0,5
16,0,1
17,0,2
18,0,1
19,0,1
20,0,2
21,0,9
22,0,9
23,0,3
24,0,2
25,0,4
26,0,1
27,0,1
28,0,8
29,1,149
30,0,46
31,0,23
32,0,42
33,0,107
34,0,459
35,0,40
36,0,102
37,1,187
38,0,6
39,0,8
40,0,14
41,0,2
42,0,93
43,0,56
44,0,1
45,0,4
46,0,1
47,0,3
48,0,1
49,0,5
50,0,1
51,0,744
52,0,3
53,1,9
54,1,205
55,0,1
56,1,80
57,0,12
58,0,73
59,0,11
60,0,3
61,0,130
62,0,3
63,0,11
64,1,117
65,0,15
66,0,36
67,0,15
68,0,10
69,0,11
70,0,18
71,0,33
72,1,280
73,1,73
74,0,4
75,0,88
76,0,89
77,0,2
78,0,6
79,0,2
80,0,9
81,0,797
82,0,13
83,0,11
84,0,2
85,0,1
86,0,5
87,0,1
88,0,125
89,0,43
90,0,7
91,0,1
92,0,4
93,1,457
94,0,344
95,0,2
96,0,17
97,0,40
98,1,429
99,0,147
100,0,67
101,0,126
102,0,58
103,1,210
104,1,159
105,0,1
106,0,14
107,0,16
108,0,120
109,0,1
110,0,19
111,0,1
112,0,5
113,0,4
114,0,1
115,0,2
116,0,4
117,0,2
118,0,12
119,0,2
120,0,1
121,0,7
122,0,7
123,0,2
124,0,4
125,1,23
126,1,1
127,0,6
128,0,62
129,0,45
130,0,1
131,0,1
132,0,6
133,0,5
134,0,2
135,0,3
136,0,2
137,0,19
138,0,25
139,0,8
140,0,3
141,0,2
142,0,1
143,0,43
144,1,13
145,0,1
146,0,79
147,0,68
148,0,1
149,0,2
150,0,9
151,0,72
152,0,7
153,0,54
154,0,24
155,0,5
156,0,20
157,0,55
158,0,163
159,0,9
160,0,1
161,0,22
162,0,2
163,0,13
164,0,1
165,0,3
166,0,1
167,0,2
168,0,2
169,0,142
170,0,41
171,0,33
172,0,2
173,0,27
174,0,4
175,0,9
176,0,1
177,0,12
178,0,2
179,0,4
180,0,1
181,0,9
182,0,32
183,0,1
184,0,1
185,1,215
186,0,30
187,0,20
188,0,10
189,0,38
190,0,1
191,0,150
192,1,55
193,0,11
194,0,16
195,0,2
196,0,8
197,0,9
198,0,17
199,0,15
200,0,49
201,0,3
202,0,41
203,0,1
204,0,90
205,0,103
206,1,10
207,0,1
208,0,13
209,0,27
210,1,11
211,0,2
212,0,46
213,0,12
214,0,3
215,0,2
216,0,6
217,0,18
218,0,46
219,0,28
